               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.034173,            0.026659,                   0,             0.68599,             0.59568,             0.63712,             0.30259,            0.040597,            0.018177,                   0,           0.0024195,           0.0024195,           0.0024195
                  39,             0.03456,            0.026245,                   0,              0.6261,             0.62316,             0.63206,              0.3069,            0.040515,            0.018038,                   0,           0.0022196,           0.0022196,           0.0022196
                  40,            0.034351,             0.02772,                   0,             0.69093,              0.6104,             0.65368,              0.3144,              0.0406,            0.018237,                   0,           0.0020327,           0.0020327,           0.0020327
                  41,            0.033434,            0.026466,                   0,             0.68379,              0.6261,             0.64319,             0.30498,            0.040545,            0.018542,                   0,           0.0018594,           0.0018594,           0.0018594
                  42,            0.033192,            0.027072,                   0,             0.64907,             0.61531,             0.63614,             0.30148,            0.040454,            0.018286,                   0,           0.0017005,           0.0017005,           0.0017005
                  43,            0.033586,             0.02609,                   0,             0.63646,             0.62218,             0.63279,             0.30137,            0.040399,            0.018657,                   0,           0.0015566,           0.0015566,           0.0015566
                  44,             0.03286,            0.026707,                   0,             0.64646,             0.65138,             0.64155,             0.30403,            0.040563,             0.01844,                   0,           0.0014283,           0.0014283,           0.0014283
                  45,             0.03232,            0.025699,                   0,             0.68535,              0.6104,              0.6374,               0.303,            0.040636,            0.018697,                   0,            0.001316,            0.001316,            0.001316
                  46,            0.032192,            0.026193,                   0,             0.66168,             0.62905,             0.63294,             0.30537,            0.040653,            0.018494,                   0,           0.0012202,           0.0012202,           0.0012202
                  47,             0.03277,            0.026533,                   0,             0.63366,             0.61727,             0.62591,             0.29617,            0.040738,            0.018596,                   0,           0.0011414,           0.0011414,           0.0011414
                  48,            0.032565,            0.025802,                   0,             0.67016,             0.61335,              0.6394,             0.30595,            0.040939,            0.018414,                   0,           0.0010797,           0.0010797,           0.0010797
                  49,            0.031482,            0.025194,                   0,              0.6474,             0.63984,             0.63638,             0.30807,            0.040737,            0.018714,                   0,           0.0010355,           0.0010355,           0.0010355
